"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"753","74990",1,"74990","NaN","74990","74990","74990","74990","74990"
"710","16413458.222070312",161,"101946.94547869758","150979.31962704592","0","20230.6","53046","123300","1066690.65"
"398","18132331.545366973",710,"25538.49513431968","43007.29009701717","0","2184.6000366210938","8852.2","29686.105","402955.87"
"727","15543443.012187501",32,"485732.5941308594","752669.271325125","5","77335.5","162887.0328125","354429.5","2528251"
"511","8971907.202187499",47,"190891.642599734","406674.0419733161","4560","26930","66050","158042.5","1878248.125"
"446","47837953.41087891",384,"124578.00367416383","296704.425334956","0","22443.92041015625","58715.25","120252.435625","4068400"
"605","105000",1,"105000","NaN","105000","105000","105000","105000","105000"
"317","9514725.545996094",143,"66536.54227969296","95146.92368171837","234","10872.555","22817","74497.91015625","509677.40625"
"775","1399031.941875",4,"349757.98546875","343951.3325014249","152847.42","167889.42140625","190833.7109375","372702.275","864517.1"
"337","36510709.54219955",803,"45467.882368866194","105749.82802119544","0","1244","10716","47799.25","1448534.56"
"723","15885247.29390625",116,"136941.78701643317","195215.2043952071","1139","34440","75000","148527.5","1251456"
"378","1238592.1477343752",20,"61929.60738671876","81025.38622218693","309.65","19622.017578125","24000","70575.88671875","338178.07"
"156","7176788.930772247",44,"163108.8393357329","543202.9725674415","17.450000762939453","1228","15778.40509765625","78803.77","3443460.85"
"653","213824151.4325",187,"1143444.660066845","3609503.6456259913","0","69986.78125","300000","850000","44769420"
"410","87600",1,"87600","NaN","87600","87600","87600","87600","87600"
"343","26715884.026121825",331,"80712.64056230159","136572.3682403703","329.1000061035156","15888.8251953125","38500","85401.51999999999","1200000"
"717","2919509.6868994143",39,"74859.22274101063","90525.46563079975","0","20544","40433.4","88144","407197.58"
"733","1006313.5700000001",7,"143759.08142857143","70955.06219873285","60900.01","79887.1","160300.01","189979.675","245380"
"779","207826.72998046875",8,"25978.341247558594","28568.327899038777","7267.6298828125","9352.400024414062","12387","28515.625","72100"
"031","6169048.808820801",101,"61079.69117644357","217058.54818429064","0","10771.25","30000","54640.3984375","2181781.8"
"655","4941610.66203125",30,"164720.35540104166","203561.66917519408","24642.44921875","71925.90234375","96288.80859375","182313","1024682.375"
"489","60925817.21271485",141,"432097.9944164174","1737702.2833537827","248","18233.61","65450","185360.15625","15717751.2"
"982","6250",1,"6250","NaN","6250","6250","6250","6250","6250"
"370","280904.1100390625",10,"28090.41100390625","42537.37954054407","1383.32","6676.2775","13180.67021484375","16879.91990234375","138048.78"
"440","3064442.2373828124",54,"56748.930321903936","141011.62313574261","0","0","0","49507.8515625","830000"
"907","36708977.7558789",239,"153594.04918777783","721290.4277739287","0","22375","60520","118670.65","10983981"
"385","36978334.004187316",188,"196693.26597971976","587824.9186812466","86.12000274658203","12915.65990234375","59318.270000000004","156094.12890625","5136567"
"703","6287127.359375",10,"628712.7359375","695532.4855776388","30937.5","171248.625","370002","807750","2275000"
"322","14078925.452158203",99,"142211.3682036182","557928.8258516443","0","8965.219843750001","30440","118222.245","5428898.28"
"316","31000275.61",184,"168479.75875","563012.3858501948","79","13007.705","39011.21484375","101245","5962300"
"702","587495.41",16,"36718.463125","44231.386747591154","-1400","575","19499.995000000003","56500","120000"
"093","561226923.4819763",654,"858145.1429388017","1763623.555076397","0","62735.545","200718.53125","790762.76","15696221.16"
"092","18453448.83985962",139,"132758.6247471915","355418.5212789597","0","6429.5","34596.8","72450","2515369.14"
"383","3743718.4218359375",38,"98518.90583778782","158421.78580350112","0","16113.344970703125","36757.275","113475","808000"
"726","35446633.29335938",224,"158243.89863106865","274205.4896193154","2742","36507.705","83185","153975","2007973"
"790","19800602.574756168",119,"166391.61827526192","268174.564695237","0","22854.239999999998","91895","158023.2","1774392.9"
"442","25942786.156699218",235,"110394.83470935837","137499.96251875375","0","31211.5","78260","137830.4765625","1331659.52"
"455","828238",10,"82823.8","49222.34736557957","13750","50497.5","88828","100125","173848"
"701","57009.599609375",11,"5182.690873579545","11528.27630590672","-22040","625","3450","13000","22022.099609375"
"553","268547255.6591406",322,"833997.6883824242","3089527.5223305547","-192000","21713.75","118442.17","288052.5","38954396.16"
"392","122510579.10244697",303,"404325.34357243223","3627038.121661619","0","2772","10473","42250","47941740"
"374","3297318.841278076",101,"32646.72120077303","44383.36575469415","37","2038.67","17248","46830","249989.65"
"152","24421326.44953476",363,"67276.38140367702","243355.8137270063","39.439998626708984","5314.1","15273.25","44726.350000000006","2884800.5"
